programa,2013,2014,2015,2016,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
mi-pais-nuestro-mundo,0,288,98,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,144,36,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0
secretos-sobre-todo,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mares-resplandecientes,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,119,30,0,0,0
la-vida-del-agua,807,0,0,0,0,0,0,0,283,342,11,0,0,156,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mentira-la-verdad,3628,3288,3158,2774,0,0,0,0,0,825,946,903,759,195,0,0,368,405,483,437,103,0,0,0,276,406,361,449,409,377,493,305,33,0,0,340,366,372,251,212,7,0,194,309,304,333,344,369,376,436,102,0
guzman-por-guzman,155,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geografias,111,656,90,0,0,0,0,0,0,0,0,31,0,80,0,0,0,225,34,80,95,156,66,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
universos-de-aprendizaje,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0
tunga-tunga-el-ritmo-cordobes,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,146,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oficios-curso-de-fotografia,0,0,643,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,132,132,0,0,107,132,0,0,33,132,99,90,225,90,0,0,0
la-atlantida,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,19,0,0,508,42,0,0,0
el-bueno-el-malo-y-el-oso-pardo,0,86,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,26,0,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cromanon-que-no-se-repita,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9999-la-ciencia-de-las-abuelas,0,212,928,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,112,0,0,0,0,239,306,335,48,0,0,0,0,0,0,225,248,0,0,0,0,0,0,0,0
el-informe-kliksberg,1769,2684,4071,1476,0,0,0,0,0,0,0,295,404,385,316,369,71,0,333,319,356,369,337,431,371,59,0,38,326,300,447,346,396,237,436,398,239,313,336,297,22,0,0,0,0,0,351,353,320,350,80,0
adictos-a-las-series,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la-cortina-de-hierro-un-cinturon-de,37,84,51,0,0,0,0,0,0,0,37,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,27,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el-imperio-del-aire,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micromonstruos,0,0,197,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,41,0,0,86,0,0,52,78,0,86,0,0
revoluciones,87,795,2006,691,0,0,0,0,0,0,0,0,0,0,0,87,38,0,31,81,27,41,0,137,0,279,78,83,173,111,354,219,0,129,215,203,215,0,172,215,0,0,120,15,323,226,7,0,0,0,0,0
luchas-del-pueblo,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
se-dice-de-mi,0,196,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juan-saavedra-el-bailarin-de-los-montes,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viento-del-pueblo-miguel-hernandez,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filo-cronicas-de-universidad,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
grandes-de-nuestra-cultura,1420,723,2356,1965,0,0,0,0,374,408,434,204,0,0,0,0,0,0,174,179,7,0,0,0,0,0,0,363,348,11,0,0,430,482,471,421,0,27,121,45,141,154,404,104,0,0,407,307,183,208,57,0
salud-un-bien-social,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,286,288,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animal-que-cuenta,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,343,353,266,168,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desaparicion-forzada,248,0,0,0,0,0,0,0,0,0,0,0,0,0,156,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en-su-justa-medida,0,1562,2191,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,475,448,289,0,0,0,0,363,377,15,0,415,442,359,15,0,0,0,205,56,0,0,0,0,299,215,239,200,274,71,0
parpados,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el-jardin-de-las-delicias,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,247,58,0
queremos-saber,1448,214,27,0,0,0,0,0,310,275,165,130,71,284,142,71,0,0,0,0,0,0,36,144,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
auschwitz-los-nazis-y-la-solucion-final,0,488,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,63,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elevate,831,87,414,399,0,0,0,0,0,0,0,0,260,260,275,36,0,0,0,0,0,0,0,0,0,0,0,87,180,180,0,0,0,0,0,0,54,0,0,0,0,285,114,0,0,0,0,0,0,0,0,0
los-cazadores-del-cielo-el-mundo-de,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,34,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verde,166,162,0,0,0,0,0,0,0,0,117,49,0,0,0,0,0,0,0,0,0,0,0,0,128,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuevo-arte-argentino,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,289,258,204,169,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vida-en-el-vientre,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
historias-debidas-latinoamerica,1227,1371,1330,979,0,0,0,0,387,474,141,103,122,0,0,0,0,0,0,0,126,239,238,239,196,174,106,53,235,0,159,158,0,319,45,260,133,21,0,0,0,0,0,0,0,0,332,285,325,37,0,0
enfermeria,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,281,244,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galapagos,0,708,104,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,59,26,26,26,315,37,0,0,0,0,0,0,0,26,0,0,0,78,69,15,26,0,0,86,0,0,0,0,0,0
jung-habla-sobre-freud,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ser-vial,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,15,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argentina-es-musica,0,262,94,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0
andy-warhol,186,89,0,0,0,0,0,0,0,0,0,0,0,0,0,186,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la-ciencia-de-los-secretos,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,438,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
