mes,Del ciudadano al consumidor,Construcción y crisis del relato...,Estado de derecho: del juicio a las...,Políticas de Estado. La integración...,Los nuevos sujetos de la democracia,Estado y seguridad
2013-05,0,0,0,0,0,0
2013-06,0,0,0,0,0,0
2013-07,0,0,0,0,0,0
2013-08,0,0,0,0,0,0
2013-09,0,0,0,0,0,0
2013-10,0,0,0,0,0,0
2013-11,0,0,0,0,0,0
2013-12,0,0,0,0,0,0
2014-01,0,0,0,0,0,0
2014-02,0,0,0,0,0,0
2014-03,0,0,0,0,0,0
2014-04,0,0,0,0,0,0
2014-05,0,0,0,0,0,0
2014-06,0,0,0,0,0,0
2014-07,0,0,0,0,0,0
2014-08,0,0,0,0,0,0
2014-09,0,0,0,0,0,0
2014-10,0,0,0,0,0,0
2014-11,0,0,0,0,0,0
2014-12,0,0,0,0,0,0
2015-01,0,0,0,0,0,0
2015-02,0,0,0,0,0,0
2015-03,0,0,0,0,0,0
2015-04,0,0,0,0,0,0
2015-05,43,43,36,0,0,43
2015-06,0,0,43,43,43,79
2015-07,43,0,43,58,43,0
2015-08,102,102,117,102,102,102
2015-09,0,0,0,0,0,0
2015-10,0,0,0,0,0,0
2015-11,0,0,0,0,0,0
2015-12,0,0,0,0,0,0
2016-01,0,0,0,0,0,0
2016-02,0,0,0,0,0,0
2016-03,0,0,0,0,0,0
2016-04,0,0,0,0,0,0
2016-05,43,58,58,0,0,58
2016-06,0,58,76,69,62,0
2016-07,80,0,80,80,80,43
2016-08,84,84,0,0,84,30
2016-09,39,69,69,84,0,69
2016-10,30,62,41,62,62,0
