mes,Juan Carlos Onetti,Jorge Amado,Alain Robbe Grillet,Juan Manuel Fangio,Atahualpa Yupanqui,Antonio Saura,Julio Cortázar,Guillermo Cabrera Infante,Milan Kundera,Richard Nixon,Miguel Delibes,Leopoldo Torre Nilsson,Ennio Morricone,Marcello Mastroianni,Sofía Loren,Franco Zeffirelli,Mario Benedetti,Carmen Martín Gaite...,Alberto Ginastera,Manuel Mujica Lainez,Carlos Saura,Elmyr De Hory,Francisco Ayala,Ernesto Sábato,Madre Teresa de Calcuta,Libertad Lamarque,Federico Fellini,Jorge Luis Borges II,Luis García Berlanga,Antonio Di Benedetto,José Ferrater Mora,Chabuca Granda,Severo Ochoa,Roman Polanski,Arthur Rubinstein,Alejo Carpentier,Gillo Pontecorvo,Manuel Vázquez Montalban,Mario Vargas Llosa,Marguerite Duras,Joan Manuel Serrat,"Joaquín Lavado ""Quino""",Raphael,Jorge Luis Borges I,Mercè Rodoreda,Geraldine Chaplin,Facundo Cabral,Roberto Rossellini,Antonio Skármeta,Otto Preminger,Augusto Roa Bastos,Juan Rulfo,Camilo José Cela,Carlos Fuentes,Manuel Puig,Salvador Dalí,Jorge Semprun
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2013-08,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,27,0,0,0,0,0,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,69,0,15,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,27,0,0,0,0,0,0,0,69,0,0,0
2013-12,0,0,0,0,11,0,15,0,0,0,0,54,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,11,0,0,0,0,42,21,69,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
