mes,Glaciares: deshielo,Vida cotidiana,Salud,Bosques: deforestación,Cambio climático (resumen),Antártida,Precipitaciones I: Inundaciones,Eventos extremos y desastres asociados...,Energías,Sequías,Ciudades,Producción agropecuaria,Turismo
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,89,0,0,0,0,26,0,0,0,89,89,0
2014-03,0,75,82,89,0,0,63,0,0,0,0,0,82
2014-04,90,7,0,0,0,0,0,29,83,101,90,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,90,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,65,0,0,0,0,54,0,0,0,65,54,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,27,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,58,0,0,0,0,50,0,0,0,65,65,0
2016-05,0,0,0,50,0,39,15,0,39,50,0,0,50
2016-06,22,32,43,0,0,0,0,50,11,0,0,0,0
2016-07,0,11,0,43,0,0,43,0,0,0,43,43,0
2016-08,0,0,32,0,0,43,0,0,43,43,0,0,43
2016-09,43,32,11,0,43,0,0,43,0,0,0,0,0
2016-10,0,55,0,0,0,0,22,0,0,0,22,0,0
