mes,La logia,Asamblea del año XIII,La Asamblea,La previa
2013-05,132,79,79,106
2013-06,38,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,69,31,69,69
2013-11,0,11,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,143,0,96,69
2014-03,22,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,45,33,33,33
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,73,66,66,73
2015-04,0,0,0,77
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,0,0
2016-01,0,0,0,0
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,0,0,0
2016-06,0,0,0,0
2016-07,0,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
