mes,Estrategia terrestre,Estrategia naval,Tucumán,Martín García,Buceo,Vuelta de Obligado,Suipacha,Salta,Florida
2013-05,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,84,0,0,0
2013-12,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,121,121,121,0,0,42
2014-02,121,121,42,0,0,0,121,0,79
2014-03,0,0,64,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,73,0,73,0,0,0
2014-10,32,85,0,0,73,0,92,0,65
2014-11,60,0,0,65,43,84,11,54,0
2014-12,0,0,0,0,22,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,91,91,76,0,0,49
2015-05,0,0,0,0,0,0,0,0,42
2015-06,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,69,0,0,0
2015-12,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0
