mes,Cecilia Todd,Omara Portuondo,Soledad Bravo,Totó la Momposina,Homenaje a Mercedes Sosa,Elza Soares,Leonor González Mina,Homenaje a Chavela Vargas,Gal Costa,Homenaje a Chabuca Granda,Paquita la del Barrio,Homenaje a Violeta Parra,Susana Baca
2013-05,34,76,76,15,0,0,49,0,0,0,61,0,0
2013-06,42,49,0,49,0,0,49,0,49,0,0,0,0
2013-07,45,0,101,101,0,101,0,0,49,0,56,0,0
2013-08,101,0,0,0,0,34,0,185,52,0,0,54,0
2013-09,0,103,61,0,0,0,0,0,75,42,0,118,0
2013-10,103,38,0,0,0,0,103,103,0,103,0,21,0
2013-11,0,43,0,0,0,0,0,0,0,0,0,0,103
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,65,65,0,0,0,58,65,0,0,0,0,0,0
2014-04,0,0,69,65,0,7,0,0,65,0,65,0,0
2014-05,0,0,0,0,85,0,0,65,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,69,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,30,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,27,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,59,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,53,0,53,0,0,0,0,0,0,53,53
2015-04,64,83,0,0,0,56,56,0,0,0,0,0,0
2015-05,0,0,0,0,0,18,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,21,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,15,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0
