mes,María Luján Oulton,José Luis Gallego,Miguel San Martín,Florencia Rolandi,Leonardo Oyola,Andrei Vazhnov,Víctor Penchaszadeh,Le Blanc &amp; West,Sergio Feferovich
2013-05,73,0,109,0,0,0,0,0,73
2013-06,63,0,179,21,0,0,0,0,63
2013-07,0,0,26,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0
2014-01,0,0,80,0,0,0,0,0,43
2014-02,0,0,43,80,0,0,0,0,37
2014-03,0,0,37,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0
2014-05,0,61,0,0,61,28,61,0,0
2014-06,0,0,0,0,79,50,0,81,0
2014-07,0,0,0,0,0,7,0,0,0
2014-08,0,0,0,0,0,0,65,0,0
2014-09,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0
2015-01,0,58,0,0,69,32,58,0,0
2015-02,0,0,90,0,58,26,0,0,58
2015-03,0,0,26,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0
