mes,El desprecio&nbsp;,Las dos inglesas y el amor,Aballay,Cumbres borrascosas,Blow up,Carrie,César debe morir,1984,Boquitas pintadas
2013-05,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,52,0,52,73,0
2015-11,52,52,52,52,0,31,0,0,0
2015-12,0,0,0,0,0,21,0,0,52
2016-01,21,21,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,31,52,0,52,52,0
2016-09,52,52,0,21,0,52,52,0,0
2016-10,0,0,0,0,0,7,0,0,0
