mes,Cuando el eje es la relación entre...,"Borges, poeta","Oesterheld, historietas",Eje poesía,"Esteban Echeverr ía, ensayista","Roberto Fontanarrosa, historietista","Silvina Ocampo, cuentista",Eje fantástico,"Horacio Quiroga, cuentista","Julio Cortázar, cuentista","Osvaldo Soriano, cuentista","Leopoldo Lugones, poeta","Cortázar, novela","Leopoldo Lugones, cuentista","Jorge Luis Borges, cuentista",Eje realidad y ficción,Cuando el eje es el narrador,"Juan José Saer, novelista",Eje periodismo-ficción,"Roberto Arlt, escritor de...","Roberto Arlt, novelista","Fontanarrosa, cuentista","María Elena Walsh, poeta","Puig, novela","Adolfo Bioy Casares, cuentista","Eugenio Cambaceres, novelista",Cuando el eje es el policial,"Leopoldo Marechal, novelista","Alfonsina Storni, poeta"
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,71
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,71,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,71,0,0,0,0,0,0,0,0,71,0,0,0,0,0,42,0,0,29,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,21,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,71,0,0
2013-12,0,0,0,71,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
