mes,Gran Bretaña,Los aztecas,China,Los persas,Egipto II,Roma 2,Rusia,Bizantino,Napoleón,Cartago,Los mayas,Grecia 2,Grecia,Roma 1,Egipto I,El mundo de Da Vinci
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,90,0,0,0,0,90,0,90,0,90,0,0,0,0,0
2015-06,0,90,0,42,90,0,0,0,0,0,0,0,0,0,0,90
2015-07,0,86,0,48,0,0,0,0,0,0,0,86,86,60,0,0
2015-08,0,0,15,0,0,123,0,0,0,27,0,0,0,26,0,0
2015-09,90,0,0,0,0,0,53,90,0,63,63,0,0,0,0,0
2015-10,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,79,0,0,0,0,106,0,106,0,106,0,0,0,0,0
2016-02,0,0,0,102,91,0,0,0,0,0,0,0,27,0,102,102
2016-03,0,0,60,0,0,60,0,0,0,0,0,102,75,0,0,0
2016-04,109,87,15,0,0,0,0,102,0,102,0,0,0,0,0,0
2016-05,0,15,0,0,0,0,112,0,112,0,112,0,0,0,85,112
2016-06,0,0,0,112,88,0,0,0,0,0,0,0,112,0,27,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
