mes,Cristian Aldana,Mariana Enríquez,Enrique Arrosagaray,Mauricio Kartun,Diana Sacayán,Juan Diego Incardona,Guillermo Roisinblit,"Fabián ""El conu"" Rodr íguez",Eduardo Schmidt,Pablo Ramos,Padre Pepe Di Paola
2013-05,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0
2015-05,65,65,0,65,0,0,0,0,0,0,65
2015-06,0,0,69,0,69,69,0,69,21,0,0
2015-07,54,100,0,0,0,0,69,0,48,69,0
2015-08,46,0,0,92,92,0,0,92,0,0,92
2015-09,0,0,61,0,0,61,61,0,61,36,0
2015-10,0,0,0,0,27,0,0,0,0,25,0
2015-11,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,64,0,64,64,0,0,0,0,0,64
2016-08,0,0,83,0,0,64,0,64,64,0,0
2016-09,0,54,0,54,0,0,64,0,0,65,43
2016-10,0,0,0,0,65,72,0,144,0,0,22
