mes,Luis Ornelas,Dalila,Amar Azul,Antonio Ríos,Pablo Lescano y Damas Gratis,El Pepo,Meta Guacha,Los Palmeras
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,27,94,0,0,0,64
2015-08,64,64,37,64,0,64,0,0
2015-09,0,84,0,49,57,0,86,0
2015-10,27,42,49,0,0,38,0,99
2015-11,11,0,0,29,90,0,72,0
2015-12,0,45,45,27,0,34,0,45
2016-01,7,0,61,0,61,61,65,21
2016-02,65,0,0,72,58,24,58,0
2016-03,27,49,0,0,0,49,0,65
2016-04,49,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,58,34,58,0,0,0,65
2016-10,58,0,24,0,58,58,58,0
