mes,La radio,La televisión,Internet,Telefonía celular,Convergencia tecnológica para el...,El teléfono,Comunicación satelital,Comunicación directa por Internet
2013-05,0,0,0,0,0,90,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,114,80,0,0,0,114,0,0
2013-09,228,148,0,0,0,0,114,0
2013-10,0,21,114,114,0,0,114,129
2013-11,88,0,96,0,82,111,0,72
2013-12,0,73,84,62,60,0,84,0
2014-01,0,0,0,11,0,0,0,84
2014-02,0,0,0,0,0,31,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,62,62,0,0,0,62,36,0
2014-09,0,0,69,69,0,0,26,62
2014-10,61,54,0,0,69,61,21,0
2014-11,0,0,0,0,0,0,22,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,79,79,0,0,0,79,45,0
2015-04,0,0,79,68,68,0,0,68
2015-05,0,0,0,0,0,57,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,64,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,15,0,0
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,95,95,61,0,0,95,95,0
