mes,Acá está Fierro,¿Quién es el gaucho?,Mucho más que una payada,La voz de José Hernández,Fierro en la música,Entre pantallas y escenarios,Ida y vuelta,El retrato de Fierro,"Me tendrán en su memoria para siempre,...",Fronteras,Guerras cantadas,¿Poema épico nacional?,Los demasiados libros
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,36,0,36,0,0,0,0,36,0,36,0,0
2014-06,0,0,36,0,0,0,36,0,0,0,0,36,36
2014-07,0,0,0,0,36,72,0,36,0,36,0,0,0
2014-08,36,36,0,0,0,0,0,0,36,0,36,0,0
2014-09,0,0,0,36,0,0,36,0,0,0,0,36,36
2014-10,0,0,36,0,0,36,0,36,0,15,0,0,0
2014-11,0,0,0,27,0,0,0,0,0,0,0,0,0
2014-12,0,11,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,36,0,0,0,0,0,36,36,36,0,36
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,57,0,57,0,0,0,0,57,0,57,0,0
2015-08,0,0,68,0,0,0,68,0,0,57,0,68,68
2015-09,57,57,0,0,0,0,0,57,27,0,0,0,0
2015-10,0,0,0,57,0,0,0,0,0,0,57,0,57
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,57,0,0,0,0,0,0,57,0,57,0,0
2016-05,0,0,57,57,0,0,57,0,0,0,0,57,57
2016-06,0,0,0,0,57,57,0,57,0,57,0,0,0
2016-07,72,72,0,0,0,0,0,0,72,0,72,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,124,0,117,0,0,0,0,124,0,117,0,0
