mes,Jefazo,Iluminados por el fuego,El burgués maldito,Amalita,El vuelo,La Salada,Galimberti,El oficio de escribir,La Bonaerense
2013-05,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,176,0,79,0,0,90
2015-11,0,79,79,0,83,34,72,0,0
2015-12,83,0,0,42,0,0,75,57,49
2016-01,0,0,79,30,0,68,79,0,79
2016-02,79,79,0,0,79,0,0,64,0
2016-03,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,31,0,31,31,0,42
2016-08,0,0,0,31,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0
