mes,El cerebro y la música,El cerebro y la comida,El cerebro y el lenguaje,El cerebro y el movimiento,El cerebro y la mirada,El cerebro y el dinero,El cerebro y la moral,El cerebro y el tiempo
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,133,182,0,0,0
2014-11,0,104,0,131,104,0,0,94
2014-12,0,92,0,114,92,0,0,92
2015-01,0,0,0,0,0,0,0,85
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,143,0,0,104,104,0
2015-06,201,0,37,0,0,83,104,0
2015-07,0,0,97,73,97,104,0,21
2015-08,0,0,0,0,0,0,0,52
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,51,0,69,48,0,0,69
2015-12,73,18,73,0,0,122,73,0
2016-01,0,0,0,0,73,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,39,39,39,39,0,0,0
2016-04,71,0,0,0,60,71,64,0
2016-05,0,65,15,65,11,0,0,65
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
