mes,Malawi&nbsp;,Oeste de Canadá,Hawaii,Australia,Costa Rica&nbsp;,Las islas Shetlands,Oeste americano,Brasil,Tasmania,Nuevo México,Archipiélago de las Azores,Croacia&nbsp;,Cabo verde&nbsp;,Belice,Laos,Mar Egeo,Rajastán&nbsp;,El sultanato de Omán,Jamaica
2013-05,0,0,58,0,0,0,69,69,0,0,51,0,0,69,0,0,0,0,0
2013-06,0,0,0,0,0,0,47,80,69,0,33,0,0,69,0,0,0,0,0
2013-07,0,69,0,0,0,69,22,0,0,0,0,0,84,0,69,0,0,0,0
2013-08,0,0,0,0,0,69,0,0,0,0,0,0,69,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,94,0,0,0,0,0,0,21,0,0,0,0,47,94
2014-03,0,0,0,0,0,101,0,0,0,0,0,0,94,0,0,0,0,148,115
2014-04,0,21,0,0,0,261,0,0,0,0,0,0,21,0,79,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,52,0,0,0,0,0,0,79,0,0,0,0,72,79
2015-04,0,0,0,49,0,22,0,0,0,0,0,0,49,0,87,0,0,0,0
2015-05,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,86,0,86,0,0,0,43,86,0,0
2015-11,73,0,0,0,0,0,0,0,0,73,0,58,0,0,0,43,73,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,26,0,0,0,0,0,0,0,0,26,0,26,0,0,0,26,34,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,26,0,0,0,0,0,0,0,0,26,0,26,0,0,0,26,68,0,0
