mes,Corriente eléctrica,Temperatura,Unidades de masa,Longitud,Acústica,Química ambiental,"Fuerza, presión, volumen y flujo",Tiempo y frecuencia,Historia de las medidas,Intensidad luminosa,Sistema Internacional de Unidades,¿Qué es medir?,Química de los alimentos
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,64,110,0,97,79,0
2014-06,110,0,99,110,0,0,110,46,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,43,104,0,93,208,0
2014-08,58,0,58,47,0,0,65,61,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,71,101,0,90,101,0
2015-02,86,0,74,101,0,0,101,15,0,0,0,0,0
2015-03,15,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,100,0,0,89,100,0,0,0,100,0,26,0
2015-06,0,100,0,0,42,0,0,0,0,100,0,100,100
2015-07,0,143,0,0,58,79,0,0,0,0,0,0,79
2015-08,0,15,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,66,0,66,73,0
2016-01,0,0,0,0,0,0,0,0,56,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,39,0,0,0,65,65,0,65,65,0
2016-07,50,50,50,26,0,0,39,0,0,0,0,0,0
2016-08,0,0,0,0,50,50,0,0,0,50,0,39,50
2016-09,0,0,0,39,0,0,0,50,50,0,50,11,0
2016-10,71,71,71,11,0,0,50,0,0,0,0,0,0
