mes,Escalandrum,Cecilia Todd,Marcela Morelo,Raly Barrionuevo,Hoppo!,Lo mejor de Encuentro en el estudio...,Luiz Carlos Borges,Pedro Aznar,La Renga,Leopoldo Federico,Gustavo Santaolalla,Marilina Ross,Ivan Lins,Rata Blanca,Juana Molina,Liliana Herrero,Adriana Varela,Chango Farías Gómez,La Vela Puerca,Las Pelotas,Catupecu Machu,Tata Cedrón,Divididos,Los Pericos,Vicentico,Orquesta Buena Vista Social Club®,Carajo,Los Tekis,Lisandro Aristimuño,Abel Pintos,Rubén Rada,Nano Stern,Miguel Cantilo,Rodolfo Mederos,La Nueva Luna,Ciro y los Persas,Chango Spasiuk,Yusa,Peteco Carabajal,Patricia Sosa,David Lebón,Fabiana Cantilo,Los auténticos decadentes,Sandra Mihanovich,Susana Baca,Illya Kuryaki and The Valderramas,Rubén Juarez,Ataque 77,Diego el Cigala,Jorge Drexler,Ramón Ayala y Los Núñez,Los Palmeras,Pablo Lescano y Damas Gratis,Los Cafres,Inti-Ilimani,Falta y Resto,Bahiano,Daniel Melingo,Fito Páez,Bersuit Vergarabat,Hilda Lizarazu
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,54,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,54,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,24,21,0,21,21,0,0,0,0,21,48,0,0,0,0,27,27,0,0,21,24,54,0,54,0,0,0,21,0,0,0,54,21,0,0,0,0,0,0,24,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,0,0,15,0,0,0,0,0,0,0,0,54,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,0,0,11,0,21,11,0,0,0,0,27,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,7,7,11,0,11,0,0,0,0,0
2014-01,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
