mes,Especial José de San Martín,Especial 25 de Mayo,Especial 20 de Junio,Especial Día de la Tradición,Especial Laica o libre,Especial «Historia de un país»....,Especial 2 de Abril,Especial Día del Respeto a la...,Especial 11 de Septiembre
2013-05,0,21,0,0,0,0,0,0,0
2013-06,0,0,32,0,0,0,0,0,0
2013-07,0,0,0,0,0,47,0,0,0
2013-08,15,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,65,0,0,0,21
2013-10,0,0,0,0,0,0,0,38,0
2013-11,0,0,0,42,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0
2014-05,0,31,0,0,0,0,0,0,0
2014-06,0,0,21,0,0,0,0,0,0
2014-07,0,0,0,0,0,27,0,0,0
2014-08,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,84,0,0,0,80
2014-10,0,0,0,0,0,0,0,27,0
2014-11,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,15,0,0
2015-05,0,31,0,0,0,0,0,0,0
2015-06,0,0,21,0,0,0,0,0,0
2015-07,0,0,0,0,0,27,0,0,0
2015-08,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,27,0
2015-11,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0
2016-05,0,50,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0
