mes,El sometimiento del sujeto,Simón Bolívar y la unión latinoamericana,Islam y Occidente - Los textos sagrados,Guerra del Paraguay - La causa del...,"Berlusconi, la tragedia y la farsa",Guerra del Paraguay - La batalla de...,El sujeto-otro,Teoría de la violencia,Kirchnerismo,La creación del sentido común,La llegada de la democracia,La filosofía europea y América Latina,17 de octubre,Guerra del Paraguay - La triple infamia,Pensadores - David Viñas,El viborazo,Superhéroes del imperio,Complejo militar norteamericano y...,Pensadores - Raúl Scalabrini Ortíz,Anarquistas en Argentina,Pensadores - John William Cooke,Juan B Justo y Alfredo Palacios,La década infame,El plan económico,El consenso de Washington,Islam y Occidente - La beligerancia de...,La muerte de Eva Perón,La guerra de Malvinas,El sujeto constituyente del poder...,Leandro Alem,Pensadores - Milciades Peña,El genocidio contra los armenios,Literatura y política - Rodolfo Walsh,El Marxismo en América Latina II,La interpretación como verdad,Literatura y política - Germán...,Objetivo del poder mediático,Desperonizar al país,Colonialismo y violencia,Satanás y los derechos humanos,¿Existe la filosofía latinoamericana?,Macartismo y marcianos,El Che Guevara,Los 11 principios de Joseph Goebbels,El cordobazo,La filosofía latinoamericana,Azules y colorados,Literatura y política - Jean Paul Sartre,La reforma universitaria,Guerra del Paraguay - Un genocidio...,El pensamiento de José Martí,Neoliberalismo y democracia,La realidad es una construcción del...,"El ciudadano, de Orson Welles",Dios y los derechos humanos
2013-05,0,0,0,121,0,114,0,0,0,0,0,0,0,110,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,49,0,99,0,0,0,0,99,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,99,0,0,99,0,0,0,0,0,0,0,0,0,0,0,99,0,36,0,0,0,0,0
2013-08,0,0,0,99,0,81,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,27,81,0,0,0,81,0,81,0,0,0,0,0,0,0,0,0,81,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
2013-11,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,76,0,0,0,0,0,0,0,0,0,0,0,29,0,76,0,0,0,0,0
2013-12,0,0,0,11,0,0,0,0,104,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
