mes,Espinal y pastizal,Aguas abajo,Esteros del Iberá,Selva paranaense
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,100,78,100,100
2014-09,100,115,100,115
2014-10,85,115,100,100
2014-11,100,136,100,100
2014-12,0,22,0,0
2015-01,0,0,0,0
2015-02,0,0,0,49
2015-03,0,0,0,0
2015-04,82,49,82,48
2015-05,0,33,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,42,60,38,75
2015-12,0,0,0,0
2016-01,39,39,32,32
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,68,68,68,68
2016-06,0,0,0,0
2016-07,0,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,0,0,0,0
