mes,Alfonsín,Cromañón,Cartoneros,Carrasco,Ignacio y Estela,Exequias,Tablada,Queremos tanto a Julio,Malvinas,Tropas al Golfo,Kosteki y Santillán,Cacerolas,Represión en Bariloche,Galtieri,19 y 20 de diciembre,Carpa blanca,Indoamericano,Albergue Warnes,Botnia,Plaza de Mayo,Parakultural,Marcha por la vida,Toma de la Ford
2013-05,125,125,0,53,0,0,125,0,125,0,0,0,0,0,0,0,0,0,0,21,0,0,0
2013-06,110,0,0,72,0,0,0,0,0,0,114,0,0,19,129,0,0,0,0,0,0,129,0
2013-07,0,129,0,129,0,0,129,0,129,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,102,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,27,0,0,0,0,84,0,0,0,0,0,27,0,0,0,0,53,0,84,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,54,0,0,0,0,31,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,78,0
2014-11,51,81,0,70,0,0,81,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,11,27,0,0,0,0,0,0,0,0,0,0,0,43,91,0,0,0,0,0,0,140,0
2015-01,71,49,0,0,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,43,0
2015-02,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,96,0,96,0,0,0,0,96,0,0,0,0,0,0,0,74,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,96,0,0,15,22,0,0,0,69,96,22,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,96,96,0,96,0,42
2015-08,0,0,86,0,86,0,0,0,0,86,0,0,0,0,0,0,0,79,0,0,0,0,54
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2015-10,21,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,15,27,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
