mes,"Bruckner, Sinfonía N.º 7 Dirigidapor...","Mahler, Sinfonía N.º 6, Dirigida por...","Brahms, Serenata N.º 2, dirigido por...",Festival Amnesty 1988,"Guns and Roses, 1992",Queen en Argentina,"Schubert, Sinfonía N.° 6 en do mayor...","Mendelssohn, Sinfonía N.º 3 Dirigida...","Haydn, Mass in Time of War, dirigida...","Brahms, Sinfonía N.º 2, Dirigida por...","The Rolling Stones, 1995","Adiós Amigos, Ramones",B.A. Rock,Festival de la solidaridad...,Adiós Sui Generis
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,45,0,0,0,0,0,45,45,34,0,0,0,0,0,0
2015-06,45,45,45,0,0,0,0,0,11,45,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,79,0,0,0,0,0,0,0,0,105,79,79
2016-01,0,0,0,92,0,0,0,0,0,0,7,0,45,61,61
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,90,0,0,0,0,166,83,0,0,0
2016-05,0,0,0,118,118,0,0,0,0,0,11,0,118,118,61
2016-06,0,0,0,0,61,107,0,0,0,0,107,107,0,0,46
2016-07,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
