mes,Clorindo Testa,Norma Aleandro,Susana Rinaldi,Soledad Silveyra,Víctor Heredia,Alejandro Dolina,Cristina Banegas,Adolfo Aristarain,Norman Briski,Carlos Nine,María Graña,Héctor Larrea,Ramón Ayala,Carlos López Puccio,María Fux,Marta Minujín,Diana Bellessi,Daniel Santoro,Eduardo <em>Tato</em> Pavlovsky,Juan Carlos Copes,Atilio Stampone,Enrique Pinti,Juan Falú,Norma Pons,Manuel Antín,Graciela Borges
2013-05,102,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,49,0,61,0
2013-06,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,76,0,53,102,0,0
2013-07,0,0,0,0,0,102,0,0,0,0,102,102,0,0,0,0,0,0,102,0,26,0,0,0,0,0
2013-08,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,60,0,0,31,0,0,76,0,0,0,0,0,0,7,0
2014-04,38,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,38,0,0,38,58,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,26,0,26,0,0,0,0,0,0,0,34,34,0,0,34,0,0,26,26,26,26,0,26,53,26,0
2015-01,0,0,74,0,0,26,0,0,0,0,0,100,0,0,0,0,0,74,0,0,0,0,0,0,74,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,114,114,0,0,88,0,0,0,114,0,0,0,0,0,0,0,0,0
2015-06,0,114,0,0,114,0,0,0,0,0,0,0,26,0,0,114,0,0,0,0,0,114,0,0,0,0
2015-07,0,0,0,0,0,0,114,114,87,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,42
2015-08,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0,79,90,0,0,0,0,0,0,0,0,72
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
2015-11,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,42,0,0,49
2015-12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0
2016-01,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,51,0,0,15,15,0
2016-02,0,0,0,0,0,15,0,0,42,51,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
2016-03,0,41,0,0,238,0,0,0,0,0,0,0,0,41,0,43,0,0,0,0,0,0,0,0,0,41
2016-04,26,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,26,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,95,95,0,0,0,0,95,0,0,0,0
2016-08,0,45,0,52,0,0,52,79,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,34,0,0,52,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,45
2016-10,57,0,0,0,0,0,0,0,0,0,30,0,0,0,57,0,0,0,0,0,0,0,0,0,57,7
