mes,La economía neoliberal,El 45,Los años peronistas,Eva Perón y la cultura peronista,Historia de la deuda externa argentina,Sociedad y Cultura de los años 60,La Noche de los Bastones Largos...,Caudillos del siglo XX,&nbsp;De Frondizi a Onganía,La formación de un país,El modelo agroexportador,Panamericanismo,La economía peronista,La economía de los liberales,Y la Argentina detuvo su corazón,La dictadura II: del golpe a Malvinas,&nbsp;Movimiento obrero (segunda parte),La energía en la Argentina,Medios y política en la caída de Illia,Las organizaciones armadas,El Cordobazo,Historia de la televisión en la...,La dictadura I: Economía y represión,Perón: regreso y derrumbe,Revolución Libertadora y resistencia...,Orígenes del movimiento obrero...,Cierre de los Ingenios tucumanos,Ganamos la paz,Sanción de la Ley Láinez,La década de los 30,Cultura y Nación (1910-1940),Festejos del Centenario,Dictadura y movimiento obrero,Turismo en la Argentina,Campaña del desierto,Poliomielitis y política,La gran inmigración,1890 - 1916: La república conservadora,La política de la democracia,La sociedad neoliberal,Auge y caída del yrigoyenismo
2013-05,0,0,0,133,27,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,11,90,0,0,0,0,0,7,0,0,90,0,0,0,0,0
2013-06,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,45,84,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,27,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,48,0,96,0,96,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,96,0,0,0,0,0,96,0,0,0,96,75,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,95,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,48,0,0,0,0,118,0,78,0,0,0,0,0
2013-10,0,112,39,39,0,0,0,0,39,39,7,0,32,0,0,0,32,0,0,0,0,27,0,0,54,39,0,0,0,42,39,0,0,0,39,18,53,39,43,32,39
2013-11,79,0,0,0,32,32,7,0,0,0,0,32,0,32,0,32,0,32,0,32,42,0,53,32,0,0,42,59,0,0,0,32,39,0,0,32,0,0,32,32,0
2013-12,0,0,0,0,32,0,0,74,0,0,0,74,0,32,0,0,0,32,64,0,0,71,0,0,0,0,32,0,71,0,0,32,81,81,0,42,0,0,26,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,32,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,57,0,0,0,56,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,7,0,0,0,0,0,71,0,0,0,0,120,0,0,0,0,0,0,0,109,0,120,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,33,0,21,113,0,0,0,0,26,34,0,0,0,0,0,69,0,0,0,15,0,0,0,0,95,0,0,0,0,0,0,0,0,26,0,26,26,0,0,33
2014-06,45,26,26,45,0,45,78,0,33,0,0,0,26,0,0,26,34,0,0,33,26,0,33,33,33,0,0,33,0,26,33,0,0,0,0,0,0,0,33,33,0
2014-07,0,0,0,0,26,0,27,33,0,0,0,59,0,66,32,0,0,26,33,0,0,33,0,15,0,0,45,0,78,0,0,78,66,33,0,33,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,73,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,21,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
2015-10,0,21,43,0,0,0,0,0,0,44,0,0,58,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
