mes,Victoria Montenegro,Martha Pelloni,Pablo Ferreyra,Cristal Farías,Mauricio Rosencof,Derechos Humanos,Especial Patricio Guzmán,Rosa Bru,Liliana Felipe,Especial Chicha Mariani,Carmen Argibay,Susana Trimarco,Lohana Berkins,Identidad,Malena D'Alessio,Lucía Topolansky,Aurora Venturini,Pilar Calveiro,Mónica Marcenac,Macarena Gelman,Nilda Fernández
2013-05,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,11,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,18,0,0,80,0,69,0,0,11,0,0,0,0,0,107,0
2014-01,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,21,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
2014-11,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,80
2014-12,0,0,0,0,0,7,53,0,0,38,0,0,0,0,0,0,0,49,0,15,26
2015-01,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,53,0,0,0,0,0,0,53,0,0,0,79,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,53,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,87,0,0,0,0,0,0,0,38,0,0,87,0,87,0,87,0,0
2015-06,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
