mes,Accesibilidad,Padres,Parejas,Relaciones sociales,Educación,Deporte,Arte,Trabajo
2013-05,0,0,0,102,0,69,48,69
2013-06,69,69,69,15,87,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,70,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,47,47,0,58,21,47,0
2014-05,0,0,0,0,0,26,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,26,0,0,0,34,26,26,26
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,80,80,0,80,0,32,0
2015-05,0,0,0,0,0,0,48,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,76,33,0,54,0,44,0
2016-01,0,44,0,47,0,69,69,69
2016-02,69,62,69,22,69,0,0,0
2016-03,0,7,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
