mes,Los años noventa: el auge...,La década perdida,El proceso de privatizaciones,Modelo agroexportador,El modelo de industrialización por...,La industria durante el régimen del...,La dictadura militar y el quiebre de...
2013-05,85,85,106,0,0,64,58
2013-06,0,0,0,100,189,21,100
2013-07,0,85,0,0,0,0,0
2013-08,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0
2014-03,0,0,0,37,150,0,0
2014-04,64,64,64,0,0,11,56
2014-05,0,0,0,0,0,26,0
2014-06,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0
2015-01,0,0,0,52,168,0,36
2015-02,95,88,95,0,0,36,48
2015-03,0,0,0,95,190,59,88
2015-04,63,95,84,0,0,84,7
2015-05,0,0,0,84,0,0,0
2015-06,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0
