mes,Canciller ía y diplomáticos,Empresarios,Médicos,Comisión nacional de valores,Educación,Propaganda,Justicia,Cultura y censura
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,85,0,127,78,0
2016-01,58,0,0,0,0,36,0,0
2016-02,31,0,0,0,0,0,0,0
2016-03,43,0,11,0,81,0,49,0
2016-04,0,0,0,81,0,81,113,70
2016-05,64,64,64,0,64,0,57,11
2016-06,57,0,0,64,0,64,7,64
2016-07,7,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
