mes,No,El 41,1918,Napoleón 1,La mejor juventud 2,El caimán,Bienvenido Mr. Marshall,La mejor Juventud 1,Un asunto de mujeres,Elizabeth,Los soñadores&nbsp;,Esposas y concubinas,El último emperador,¡Qué verde era mi valle!,Waterloo,El sol,Katyn,Walker,Barry Lyndon,Europa,El proceso de Juana de Arco,La balada del soldado,Charlotte Gray,La Vaquilla,Underground,Ana y los lobos,Los traidores,Oriundos de la noche,Mamá cumple 100 años,W,Herr Lehmann,Chocolate,El hombre elefante,Cocinando la historia,Agenda secreta,1789,Infancia clandestina,Ciudad de vida y muerte,Napoleón 2,¡Viva Zapata!,El francotirador,Los fragmentos de Antonin,Los duelistas,Capitanes de abril,Persépolis,SOS. Verano Infernal,La gran ilusión,Sarajevo mi amor
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,21,0,0,21,0,0,24,0,0,21,0,0,21,0,24,0,21,0,0,0,0,21,21,0,21,21,21,0,0,24,21,24,21,0,21,0,0,21,0,0,0,0,0,21,21
2013-12,0,0,21,0,21,21,0,24,0,0,0,0,24,0,0,0,21,21,0,21,0,0,21,0,0,0,0,0,0,21,0,0,0,21,21,0,0,24,24,0,0,0,0,0,0,0,0,45
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,54,7,31,0,27,0,0,0,0,54,27,0,27,0,27,0,0,27,27,31,31,0,31,0,0,27,0,0,0,0,0,54,27
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
