mes,El pimiento,Orégano,Romero,Tomillo y estragón,Comino y anís,Hierbas medicinales,Jarilla,La albahaca
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,101,0,0,0,56,86,0,86
2014-06,0,86,86,86,30,0,86,0
2014-07,97,0,0,0,105,86,0,86
2014-08,0,97,97,86,48,0,70,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,63,0,0,0,90,90,0,90
2015-01,0,98,98,71,0,0,83,41
2015-02,83,0,0,0,98,98,68,30
2015-03,0,83,56,83,0,0,30,83
2015-04,45,0,27,0,45,63,45,0
2015-05,0,0,33,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,80,0,0,0,61,80,0,80
2015-10,0,76,55,76,0,0,80,11
2015-11,69,0,0,0,78,80,0,48
2015-12,0,80,80,80,18,0,59,0
2016-01,115,0,0,0,115,115,78,69
2016-02,0,96,107,96,0,0,37,78
2016-03,0,0,0,0,0,0,0,18
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,79,0,0,0,79,79,57,79
