mes,E.E.T. N.° 12 Castelli - provincia de...,E.E.T. N.° 2 Berisso - provincia de...,E.E.T. N.° 3 Berazategui - provincia...,"Escuela 4-027 Moisés Chade, Gral. San..."
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,98,98,98,87
2015-09,83,83,94,94
2015-10,0,0,83,0
2015-11,0,0,0,0
2015-12,0,0,0,0
2016-01,0,0,0,0
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,0,46,0
2016-06,53,53,53,53
2016-07,64,64,71,64
2016-08,64,121,64,64
2016-09,64,64,64,64
2016-10,151,101,79,79
