mes,Normandos del sur,Domesday,Los hombres del norte,La conquista
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,63,45,45,42
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,107,66,37,107
2014-01,0,7,83,0
2014-02,0,0,0,0
2014-03,68,68,94,68
2014-04,77,84,104,77
2014-05,0,0,50,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,70,0,162,81
2015-02,11,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,51,0
2016-01,90,79,75,75
2016-02,86,97,86,86
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,0,0,0
2016-06,0,0,0,0
2016-07,0,0,0,0
2016-08,0,0,0,0
2016-09,0,0,0,0
2016-10,49,49,42,49
