mes,Las islas del tesoro: La riqueza...,Hecho en el bosque,Como la naturaleza: los bosques...,Para los árboles el bosque: beneficios...,El porvenir de nuestras raíces,Casas de cuento
2013-05,0,0,0,0,0,0
2013-06,0,0,0,0,0,0
2013-07,0,0,0,0,0,0
2013-08,0,0,0,0,0,0
2013-09,0,0,0,0,0,0
2013-10,0,0,0,0,0,0
2013-11,0,0,0,0,0,0
2013-12,0,0,0,0,0,0
2014-01,0,0,0,0,0,0
2014-02,0,0,0,0,0,0
2014-03,0,0,0,0,0,0
2014-04,0,0,0,0,0,0
2014-05,0,0,0,0,0,0
2014-06,0,0,0,0,0,0
2014-07,0,0,0,0,0,0
2014-08,0,0,0,0,0,0
2014-09,0,0,0,0,0,0
2014-10,0,0,0,0,0,0
2014-11,0,0,0,0,0,0
2014-12,0,0,0,0,0,0
2015-01,0,0,0,0,0,0
2015-02,0,0,0,0,0,0
2015-03,0,0,0,0,0,0
2015-04,0,0,0,0,0,0
2015-05,0,0,0,0,0,0
2015-06,0,0,0,0,0,0
2015-07,96,0,0,57,57,42
2015-08,54,0,36,0,54,69
2015-09,0,0,18,0,0,0
2015-10,0,0,0,0,0,0
2015-11,0,0,0,0,0,0
2015-12,0,0,0,0,0,0
2016-01,0,0,0,0,0,0
2016-02,57,57,0,57,57,0
2016-03,0,0,0,0,0,0
2016-04,0,0,0,0,0,0
2016-05,38,0,0,0,0,0
2016-06,26,38,42,53,53,0
2016-07,79,15,79,79,0,79
2016-08,79,79,57,0,79,79
2016-09,0,0,22,0,0,0
2016-10,0,0,0,0,0,0
