mes,La nueva resistencia (1986-1996),Aparición con vida (1979-1981),Los caminos de la plaza (1975-1977),Un viraje político (1997-2004),La voz de los pañuelos (1982-1983),Las locas de la plaza (1977),La otra lucha (1983-1986),La batalla por la imagen (1978)
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,99,0,0,99,0,106
2015-05,91,0,0,61,0,0,91,0
2015-06,0,0,0,15,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,87,87,0,42,87,0,0
2016-04,60,0,0,33,69,0,33,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
