mes,Yellowstone,Bosques forestales de Canadá,Okavango,Ellos y nosotros,Gran barrera de coral,Galápagos,El desierto de Namibia,El valle de Monterrey,Construyendo mundos,Svalbard,El mar profundo,Amazonas,"Centro Rojo, Australia",Tierras altas de Escocia,Serengueti,Secretos a sus éxitos
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,27,0,0,49,0,64,0,0,0,64,0,0,64,0
2014-01,0,105,22,0,60,0,0,0,0,105,0,0,0,0,0,0
2014-02,78,0,0,0,45,0,105,0,0,0,105,0,60,0,0,0
2014-03,0,0,0,90,0,27,0,0,0,0,0,0,45,101,0,101
2014-04,0,0,0,0,0,74,0,49,101,0,0,101,0,0,101,0
2014-05,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,34,0,0,0,0,0,0,0,0,61,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,64,0,33,0,0,0,53,0,0,0,0
2015-01,0,53,15,0,106,0,0,0,0,53,0,0,0,0,0,0
2015-02,53,0,0,0,0,0,53,0,0,0,53,0,53,0,0,0
2015-03,0,0,0,53,0,0,0,0,53,0,0,0,0,53,0,61
2015-04,0,0,15,0,0,64,0,49,0,0,0,64,0,0,64,0
2015-05,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,35,0,35,0,0,0,54,0,0,54,0
2015-11,0,46,65,0,46,0,0,19,0,46,0,0,0,0,0,0
2015-12,61,0,0,0,0,0,50,0,0,0,72,0,72,21,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
