mes,Capítulo IV -&nbsp;Marlies y Osvaldo,Capítulo II: Bayer y el cine,Capítulo IV: Pacifista a ultranza,Capítulo III: Bayer vs. Roca,Capítulo III -&nbsp;Mi escuela,Capítulo I: Divulgador,Capítulo I - El peor insulto,Capítulo II -&nbsp;Aprendiz timonel
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,42,0,0,0,99,0,192,27
2014-02,57,114,42,114,0,99,0,0
2014-03,0,0,53,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,43,0,0,0,0,21,32,47
2016-04,43,0,0,0,43,47,50,50
2016-05,49,0,0,0,56,0,49,49
2016-06,49,0,0,0,49,0,49,87
2016-07,0,0,0,0,0,0,0,11
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
