mes,Del amor y otros demonios,La mitad de Óscar,Todos tus muertos,5 días sin Nora,Octubre,Dos abrazos,La hija natural,La mujer sin cabeza,La caja 507,Camila,Mudar de vida,La comunidad,Bala perdida,Rompecabezas,La tigra,Bye bye Brasil,El estudiante,El cielo abierto,La ventana,Juana la loca,La teta asustada,El vuelco del cangrejo,El lenguaje de los machetes,El sur,Chicogrande,Cyrano Fernandez,Disparen a matar,Personal belongings,La película de Ana,O diabo a quatro,Jean Gentil,Cuatro hombres y un ataud,El Benny,Secretos del corazón,Cronos,Amor y frijoles,La Yuma,Macunaima,Las malas intenciones,El lugar más pequeño,Jonas y la ballena rosa,Memoria del saqueo,Araya,Hermano,Singularidades de uma rapagira loura,O estranho caso de Angelica,Técnicas de duelo,La llamada,Ardiente paciencia,Las razones del corazón,La mujer de Benjamín,Gigante,Mal dia para pescar,La demora,La leyenda del tiempo,El desencanto,Crónica de una fuga,La vida loca,Habana Eva,Lola,Els nens salvatges,Os últimos cangaceiros,No tengas miedo,Cuates de Australia,Tiempo de revancha,La luna en el espejo,Reverón,Aniceto,La nación clandestina,La muerte de un burócrata,El espíritu de la colmena,El ángel del acordeón,Mae e filha,Gestación,Nostalgia de Luz,El chico que miente,Perro come perro,Quase dois irmaos,Ana y los lobos,El día que murió el silencio,Empleadas y patrones,Norteado,Palabras mágicas
2013-05,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
