mes,Introducción a la carpintería,"Realización de sillas, parte 2","Muebles laminados, parte 2","Revestimientos, parte 2","Realización de cajas y cajones, parte 2",Realización de caballetes,"Realización de sillas, parte 1","Realización de cajas y cajones, parte 1","Revestimientos, parte 1","Muebles laminados, parte 1"
2013-05,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0
2015-01,26,26,0,0,0,26,26,0,0,0
2015-02,0,0,0,26,33,0,0,26,33,0
2015-03,26,0,26,0,0,26,0,0,0,33
2015-04,0,33,0,0,26,0,26,26,0,0
2015-05,0,0,33,33,0,0,0,0,26,33
2015-06,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0
2015-09,33,0,0,0,0,0,0,0,0,0
2015-10,0,33,0,0,33,33,33,33,0,0
2015-11,0,0,33,33,0,0,0,0,0,33
2015-12,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0
2016-03,22,0,0,0,0,0,0,0,0,0
2016-04,0,33,0,0,0,33,33,66,0,0
2016-05,0,0,0,33,33,0,0,0,33,33
2016-06,0,0,33,0,0,0,0,0,0,0
2016-07,33,33,0,0,0,33,33,0,0,0
2016-08,0,0,0,0,33,0,0,33,72,0
2016-09,0,0,33,33,0,0,0,0,0,33
2016-10,0,0,0,0,0,0,0,0,0,0
