mes,Clase 11: Transformación de falda,Clase 2: armado de falda (parte II),Clase 6: armado de pantalón (parte III),Clase 4: armado de pantalón,Clase 3: armado de falda (parte III),Clase10 : Armado de camisa (parte IV),Clase 5: armado de pantalón (parte II),Clase 1: armado de una falda,Clase 8: armado de camisa (parte II),Clase 7: armado de camisa,Clase 9: Armado de camisa (parte III)
2013-05,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,42,0,0,0,0,0,32,0,0,0
2014-04,32,0,32,32,32,32,0,0,42,32,32
2014-05,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,34,0,45,45,0,45,34,0,0,0
2015-04,0,0,34,0,0,0,0,0,34,34,34
2015-05,45,0,0,0,0,34,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,33,0,0,0
2015-10,0,0,0,33,33,0,33,0,0,0,33
2015-11,0,0,33,0,0,0,15,0,33,33,0
2015-12,0,0,33,33,0,0,33,0,0,33,33
2016-01,78,0,0,0,0,33,0,0,33,0,33
2016-02,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,45,0,0,0,0,0,45,0,0,0
