mes,Clase 2: Tabique divisorio,Clase 7: Preparación de superficie...,Clase 1: Presentación. Tabique divisorio,Clase 10: Pintura con esmalte satinado,Clase 5: Empapelado. Papel base,Clase 9: Pintura de exteriores,Clase 3: Tabique divisorio / Cielorasos,Clase 8: Pintura de interiores,Clase 11: Pintura de metales....,Clase 6: Empapelado. Papel vista,Clase 4: Revestimiento
2013-05,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0
2014-03,50,32,32,32,32,32,42,53,32,32,32
2014-04,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,33,0,0,0,0,0,0,0,0
2015-11,84,0,0,0,33,0,33,0,0,0,33
2015-12,0,33,0,33,0,33,0,33,0,33,0
2016-01,0,0,0,0,0,0,0,0,33,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0
2016-06,33,0,33,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,33,0,33,0,0,33,33
2016-08,0,33,0,33,0,87,0,33,0,0,0
2016-09,0,0,33,0,0,0,0,0,33,0,0
2016-10,33,0,0,0,33,0,33,0,0,0,33
