mes,El cruce del puente (skate),Extrema trinidad (roller-kitesurf),Periplos (bike-trike),Patinando en aguas grandes (skate),Paisaje rodante (BMX),El largo salto (longboard),Tablas y lagartos (wakeboard-wakesurf),El festival
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,54,54,54,54,0,0
2015-06,54,33,0,0,0,0,54,54
2015-07,0,0,54,54,32,0,54,69
2015-08,32,32,32,0,29,32,0,0
2015-09,0,11,69,69,69,0,0,69
2015-10,0,0,0,0,0,0,69,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,64,64,64,0,64,0
2016-02,64,64,0,0,0,64,0,64
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,43,43,43,0,43,0
2016-10,0,43,43,0,0,43,0,43
