mes,Domadores,Alambradores,Cantores,Puesteros,Tejedoras,Plateros,Sogueros,Asadores
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,28,0,28,0,28,0,28,0
2015-06,0,39,0,39,0,28,21,39
2015-07,32,0,60,0,39,32,18,0
2015-08,0,60,0,53,0,21,60,21
2015-09,82,21,54,0,43,75,0,0
2015-10,0,22,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,88,0,66,0,88,0,88,0
2016-02,0,88,22,88,0,88,15,66
2016-03,0,0,120,0,66,21,109,7
2016-04,0,0,0,0,0,78,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,58,0,79,0,86,0,79,0
2016-09,0,72,0,51,43,58,51,0
2016-10,62,62,62,0,15,62,0,0
