mes,Guardianes de la fauna,La otra Valdés,Ballenas,Orcas,Aves marinas,Actividades alternativas
2013-05,0,63,0,0,0,0
2013-06,0,0,0,0,0,0
2013-07,0,21,47,47,0,47
2013-08,47,26,0,47,21,39
2013-09,43,0,43,32,11,43
2013-10,0,0,0,0,0,0
2013-11,0,0,0,0,0,0
2013-12,0,31,141,86,0,71
2014-01,0,33,0,0,0,0
2014-02,84,0,54,84,84,0
2014-03,0,0,30,0,0,0
2014-04,0,0,0,0,0,0
2014-05,0,0,0,0,0,0
2014-06,0,0,0,0,0,0
2014-07,0,0,0,0,0,0
2014-08,0,0,0,0,0,0
2014-09,0,0,0,0,0,0
2014-10,0,21,51,51,0,51
2014-11,51,30,0,58,65,21
2014-12,66,66,66,0,66,26
2015-01,0,0,0,66,0,0
2015-02,0,0,0,0,0,0
2015-03,0,0,0,0,0,0
2015-04,0,0,0,0,0,0
2015-05,0,0,0,0,0,0
2015-06,0,0,0,0,0,0
2015-07,0,0,0,0,0,0
2015-08,0,0,0,0,0,0
2015-09,0,0,0,0,0,0
2015-10,0,0,0,0,0,0
2015-11,0,77,80,80,0,80
2015-12,0,18,0,0,0,0
2016-01,0,54,61,54,0,61
2016-02,0,0,0,0,0,0
2016-03,0,0,0,0,0,0
2016-04,0,0,0,0,0,0
2016-05,0,0,0,0,0,0
2016-06,0,0,0,0,0,0
2016-07,0,0,0,0,0,0
2016-08,0,0,0,0,0,0
2016-09,0,0,0,0,0,0
2016-10,0,0,0,0,0,0
