mes,Música Mbyá,Malambo,Percusión (compilado),La nueva canción chilena (Chile),Música gaucha (Brasil),Salta: Bandoneón,Río Negro: música medieval,Arpa paraguaya,Mendoza: Mujeres cantoras,"Chubut: Gaiman, música galesa",Corrientes: chamamé,Jujuy: música del Altiplano,Entre Rios: Música alemana del Volga y...,San Luis - Las 100 guitarras mercedinas,Guarania (Paraguay),Murga (Uruguay),Música barroca,Cuerdas (compilado),Cumbia,Voz (compilado),Santiago del Estero: chacarera,Canto llorado (Paraguay),Guitarra paraguaya (Paraguay),Música de maestros (Bolivia),Fiesta de la virgen de Urkupiña...,Fuelles (compilado),Semana de Farroupilha (Brasil),Apóstoles (Misiones),Candombe (Uruguay)
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,55,0,0,96,0,0,75
2013-07,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,73,0,73,41,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,21,77,0,0,73,0,0,73
2013-09,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,108,0,56,0,0,0,55,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,26,55,0,0,0,0,0,85
2014-05,0,80,0,0,0,0,0,80,0,0,0,0,0,0,0,0,80,70,0,0,0,0,0,0,0,0,61,0,0
2014-06,0,0,0,0,188,0,0,0,0,0,0,0,0,0,94,0,87,0,0,0,0,0,0,0,0,0,19,0,0
2014-07,94,94,0,0,0,0,0,94,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,67,0,0
2014-08,72,0,0,0,79,0,0,0,0,0,0,0,0,0,94,0,67,0,0,0,0,0,0,0,0,0,94,0,0
2014-09,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,136,0,27,0,0,0,0,0,0,11,0,0,0
2015-01,0,103,0,0,0,0,0,103,0,0,0,0,0,0,0,0,103,0,75,7,0,0,0,0,0,7,51,0,0
2015-02,0,0,0,0,0,45,53,0,45,53,49,45,49,45,0,0,0,0,0,0,45,0,0,0,0,0,52,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,15,0,0,0,15,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,82,0,0,0,0,0,82,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,169,0,0,102,0
2016-09,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,98,0,0,82,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
