mes,Humor absurdo,Quino,Los mecanismos del ¡Plop!,Calé y Medrano,El mosquito y Don Quijote,Landrú y Tía Vicenta. La mezcla del...,"Oski, el equívoco primitivo",Humor femenino,Humor mudo,Humor político en democracia,Viñetas para la libertad,El humor censurado,Caricaturas,El humor gráfico y las artes plásticas,Humor infantil,Caloi,Límites en el humor,Las chicas Divito. El humor que se...,Humor oral,Humor deportivo,El humor erótico en el humor gráfico...,Observación social,Lugares comunes en el humor,Quinterno y Patoruzú,Mordillo,Humor negro
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,72,0,94,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
2015-06,0,22,0,0,0,94,0,0,0,0,0,0,0,0,0,94,0,94,0,0,0,0,0,0,22,0
2015-07,0,75,0,0,75,0,0,0,0,0,94,0,0,75,0,11,0,0,0,0,27,0,0,0,0,0
2015-08,0,0,0,0,0,53,60,0,0,0,0,60,0,0,0,56,0,60,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,18,70,42,0,0,0,0,0,88,0,0,0,88,0,0,0,99,0,0,0
2016-06,0,0,0,0,0,0,0,0,28,88,0,0,88,0,0,0,0,0,0,42,0,0,0,0,0,88
2016-07,92,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,21,0,120,0,0,0,0
2016-08,0,0,0,0,0,0,0,82,60,0,0,0,0,0,82,0,0,0,82,0,0,0,82,0,0,0
2016-09,0,0,0,0,0,0,0,0,22,82,0,0,82,0,0,0,0,0,0,71,0,0,0,0,0,82
2016-10,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,11,0,86,0,0,0,0
