mes,<em>El zoo de cristal   </em>,<em>Made in Lanús</em>,<em>Un guapo del 900</em>,<em>Un tranvía llamado deseo</em>,Don Quijote de las Pampas,La magia del teatro,<em>El conventillo de la paloma</em>,<em>El burgués gentilhombre  </em>,<em>Las criadas</em>,<em>Salomé de Chacra</em>,<em>Casa de muñecas</em>,<em>La isla desierta</em>,<em>La vida es sueño</em>,<em>Antígona Vélez</em>,<em>El niño argentino</em>,<em>Todos eran mis hijos</em>,<em>El especulador</em>,Confesiones en escena,<em>Las brujas de Salem</em>,<em>Locos recuerdos</em>,<em>Yepeto</em>,<em>El acompañamiento</em>,<em>Chicago</em>,<em>Hamlet</em>,<em>Yerma</em>,<em>Don Chicho</em>
2013-05,48,0,0,0,60,0,0,0,0,71,0,90,0,0,0,0,0,0,0,0,0,0,0,0,152,0
2013-06,0,0,0,0,0,0,0,0,101,30,0,0,101,101,0,0,0,0,0,101,0,0,0,0,0,0
2013-07,37,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86,86,86,0,0,0,0,0,0,0
2013-08,22,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,59,0,59,0,0,0,0,0,0,59,0,0,0,27,0,0,0,0,0,59,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,32,0,36,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,44,0,0,0,33,0,0,0,0,0,0,0,0,54,0,54
2015-01,0,0,50,0,0,0,39,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,22
2015-02,0,39,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
2015-03,0,11,0,43,0,0,0,0,0,0,43,0,0,0,43,0,0,0,0,0,43,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
