mes,Historias familiares y barriales en...,Los chicos y la TV,Los chicos y los miedos,Del nacimiento al primer año....,La llegada de un bebé a casa,Del primero al segundo año....,Los chicos y el arte,Los niños tienen la palabra,Los hermanos y los celos,Alimentación y afecto,Embarazo,Parto,Los límites
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,78,0,0,0,0,0,93,93,0
2013-09,0,0,31,93,15,112,93,0,72,0,0,0,0
2013-10,0,93,62,0,0,0,46,93,0,93,0,0,0
2013-11,0,93,0,0,0,0,36,62,93,0,0,0,78
2013-12,93,0,0,0,31,0,0,0,0,0,78,155,15
2014-01,0,0,0,0,47,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,60,60,27,0,0,0,0,60,97,0
2014-04,0,38,60,0,0,33,60,0,60,0,0,0,0
2014-05,0,22,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,39,39,0,0,0,0,0,43,39,0
2014-12,65,0,0,0,0,0,0,50,0,61,21,0,65
2015-01,0,0,0,65,65,58,0,0,0,0,11,65,0
2015-02,0,65,65,0,0,0,65,0,65,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0
