mes,Magnetismo,Agua,Sonido,Centro de gravedad...,Puentes,Capítulo 12,Proyecto G II - Capítulo 13,Biografía,Proyecto G II - Capítulo 7,Electrostática,La ciencia de la mentira,Moral,Lágrimas,Proyecto G II - Capítulo 11,Capítulo 13,Capítulo 10,Proyecto G II - Capítulo 3,Proyecto G II - Capítulo 12,Creatividad,Dan Ariely,Capítulo 11,Proyecto G II - Capítulo 5,Catalizadores,Proyecto G II - Capítulo 9,Geles,Los elementos del cuerpo humano,Capítulo 8,Fuego,Curas sin medicamentos,Capítulo 4,Sinestesia,Perspectiva,Capítulo 5,Energía,Proyecto G II - Capítulo 1,Percepción,Tierra,Capítulo 2,Capítulo 7,Capítulo 9,Proyecto G II - Capítulo 4,Ciencia y arte,Presión atmosférica,Oxígeno,Libre albedrío,Capítulo 3,La ciencia del papel,Proyecto G II - Capítulo 6,Proyecto G II - Capítulo 10,Capítulo 1,Capítulo 6,Proyecto G II - Capítulo 8,Neuromagia,Hombres vs. mujeres,PH,Proyecto G II - Capítulo 2
2013-05,0,0,0,0,47,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,51,0,0,0,0,79,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,73,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,63,0,28,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,84,0,0,0,0,0,0,0,14,84,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,54,0,63,0,0,0,0,0,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,19,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,63,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,84,0,0,0,0,0,54,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,47,0,0,0,0,0,26,26,62,0,0,0,34,26,0,0,0,0,26,0,0,26,0,0,26,0,26,0,0,36,26,26,34,0,0,0,0,47,0,47,0,15,34,47,0,0,0,47
2014-02,0,0,0,26,0,26,94,0,0,0,0,0,0,26,26,34,0,0,0,0,33,0,0,34,0,0,26,0,0,26,0,0,99,0,0,0,0,26,26,58,0,0,0,0,0,26,0,0,26,34,26,15,0,0,0,0
