mes,Embarazo,Diversidad sexual y discriminación&nbsp;,Cambios que se ven,Falsas creencias,Cambios que se sienten,Pubertad y adolescencia: derechos y...,Varones y mujeres,Métodos anticonceptivos,Abuso sexual,Pubertad y adolescencia,Pubertad y adolescencia: cambios que...,Infecciones de transmisión sexual y VIH,Violencia de género,Imagen corporal
2013-05,65,0,29,36,0,0,0,50,0,65,0,0,0,65
2013-06,0,65,0,0,0,0,65,15,0,0,0,65,65,0
2013-07,0,0,0,0,50,0,0,0,50,0,65,0,0,0
2013-08,0,0,0,0,65,36,0,0,0,0,29,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,71,0,0,0,0
2013-10,71,0,0,0,0,0,71,71,0,0,0,71,0,0
2013-11,0,0,0,0,0,71,0,0,0,0,71,0,0,0
2013-12,0,0,0,0,71,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,36,0,0,0,0
2014-08,72,0,0,0,0,0,0,0,0,36,0,36,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,34,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
