mes,Pintura sobre caballete,Madera: imágenes de culto,Lunetas Galerías Pacífico,Telón del Teatro El Círculo,Arte moderno y contemporáneo,Colección Collivadino. papel,Ejercicio plástico: el mural,Archivo General de la Nación
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,131,0,0,0,47
2013-09,80,58,0,0,0,58,58,11
2013-10,0,0,65,58,58,0,0,73
2013-11,47,58,0,0,0,58,58,22
2013-12,11,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,32,0,76,0,0,0,152
2014-03,61,44,54,0,0,61,76,0
2014-04,0,32,7,32,32,0,0,32
2014-05,0,0,0,0,0,0,51,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
