mes,Blues de los plomos,Buscando a Reynols,La H,Surdesarrollo,Relámpago en la oscuridad,¿Qué sois ahora?,Luca,Spinetta: el video,Buscando a Sugar Man,Simpatía por el demonio,Hit,Tropicália,Vieja y querida Freda,Jessico,Saicomanía,Imágenes paganas,Ellos son Los Violadores,"Buen día, día",Adiós Sui Generis
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,52
2013-12,0,31,0,52,0,52,0,0,0,0,0,0,0,0,0,0,31,73,0
2014-01,0,0,52,0,0,0,52,52,0,0,0,0,0,0,0,0,21,0,31
2014-02,0,31,0,52,0,31,0,27,0,0,0,0,0,0,0,0,0,38,21
2014-03,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,21,21,21,0,21,21,21,0,0,0,0,0,0,0,0,24,21,24
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,21,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,21
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,48,0,0,0,0,0,0,0,48,0,0,48,0,0,0,27,0,0,0
2015-12,0,0,0,0,48,0,0,0,0,48,48,0,0,0,48,21,0,0,0
2016-01,27,0,0,0,0,0,0,0,0,0,0,0,27,27,0,27,0,0,0
2016-02,0,0,0,0,48,0,0,0,0,48,27,0,0,0,48,21,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,21,0,0,0,0,0,0,0,21,0,0,21,0,0,21,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,21,21,0,0,21,0,0,0,0,0
2016-10,21,0,0,0,0,0,0,0,21,0,0,21,28,0,0,21,0,0,0
