mes,Episodio 1,Episodio 2,Episodio 7,Episodio 8,Episodio 4,Episodio 3,Episodio 5,Episodio 6
2013-05,97,82,0,0,67,82,0,0
2013-06,0,0,82,0,112,0,82,97
2013-07,82,97,0,82,60,55,0,0
2013-08,0,0,0,0,22,0,93,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,95,133,0,0,60,135,0,0
2014-03,27,0,0,0,46,0,109,95
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
