mes,El bosque secreto,Valles primitivos,Siberia&nbsp;,La gran división,Kamchatka,Ártico
2013-05,0,0,0,0,0,0
2013-06,0,0,0,0,0,0
2013-07,0,0,0,0,0,0
2013-08,0,0,0,0,0,0
2013-09,0,0,0,0,0,0
2013-10,0,0,0,0,0,0
2013-11,0,0,0,0,0,0
2013-12,0,0,0,0,0,0
2014-01,0,0,0,0,0,0
2014-02,0,0,0,0,0,0
2014-03,0,0,0,0,0,0
2014-04,0,0,0,0,0,0
2014-05,0,0,0,0,0,0
2014-06,0,0,0,0,0,0
2014-07,0,0,0,0,0,0
2014-08,0,0,0,0,0,0
2014-09,0,0,0,0,0,0
2014-10,0,0,0,0,0,0
2014-11,0,0,0,0,0,0
2014-12,0,0,0,0,0,0
2015-01,0,0,0,0,0,0
2015-02,0,0,0,0,0,0
2015-03,0,0,0,0,0,0
2015-04,0,0,0,0,0,0
2015-05,0,0,0,0,0,0
2015-06,0,0,0,0,0,0
2015-07,0,0,0,0,0,0
2015-08,0,0,0,0,0,0
2015-09,0,0,0,0,0,0
2015-10,0,0,0,0,0,47
2015-11,88,88,81,0,88,41
2015-12,0,0,7,0,0,0
2016-01,68,68,0,0,68,68
2016-02,26,26,26,34,26,34
2016-03,0,0,0,0,0,0
2016-04,0,0,0,0,0,0
2016-05,0,0,0,0,0,0
2016-06,94,94,47,0,94,109
2016-07,0,83,47,83,83,83
2016-08,83,0,83,83,0,83
2016-09,0,0,0,0,83,0
2016-10,0,0,0,0,0,0
