mes,Andrés Castillo,Alberto Szpunberg,Estela de Carlotto - Parte I,Beatriz Sarlo,Gonzalo Chaves,Adriana Puiggrós,Julio Urien,Roberto Fernández Retamar,Susana Reyes,Yolanda Reyes,Horacio González,Patricio Guzmán,Teresa Parodi,Jorge Boccanera,Delia Giovanola,Adriana Lestido,Rigoberta Menchú,Dora Barrancos,Raúl Zaffaroni,Norberto Galasso,Daniel Santoro,Lila Pastoriza,Buscarita Roa,Jorge Giacosa,Juan Falú,Luis Felipe Noé,Carlos De Lorenzo,Víctor Basterra,Miguel Grinberg,Antonio Medina,Delia Bisutti,Juan Manuel Abal Medina,Teresa Meschiati,Enriqueta Maroni,Rosa Roisinblit,Nilda Garré,Mary Sánchez,Enzo Traverso,Cristina Feijóo,Judith Said,Luis Bruschtein,Estela de Carlotto - Parte II,Lilia Ferreyra,Eduardo Jozami,Daniel Divinsky,Leopoldo Moreau,Domingo Bresci,Ernesto Alonso,Carlos Somigliana,Norman Briski,Lita Stantic,Dante Gullo,Horacio Ballester,Jorge Bernetti,Dolly Pussi,Laura Devetach,Stella Maldonado,Eduardo Anguita,Jorge Álvarez,Héctor Recalde,Daniel Goldman,Stella Calloni,Tito Cossa,Ricardo Capelli,Miriam Lewin,Luis Mattini,Noé Jitrík
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,95,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
2013-08,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,38,0
2013-09,0,0,0,0,0,0,0,0,0,0,68,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,15,107,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
