mes,Pepe Biondi,Tita Merello,Enrique Santos Discépolo,Luis Sandrini,Lolita Torres,Alfredo Alcón,Gilda,Hugo del Carril,Carlos Gardel (Lado A),Leonardo Favio,Carlos Gardel (Lado B),Manuel Romero,Alberto Olmedo,Nelly Omar,Sabina Olmos,"Rodrigo Bueno, ""El potro""",Fanny Navarro,Osvaldo Pugliese,Zully Moreno,Ringo Bonavena,Aníbal Troilo,Sandro,Mecha Ortiz,Alberto Castillo,Niní Marshall,Atahualpa Yupanqui,Lautaro Murúa
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,121,0,0,121,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
2013-07,0,121,0,0,215,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
2013-08,0,121,27,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,155,0,163,0,0,0
2013-09,90,0,94,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,103,0
2013-10,0,0,114,0,0,0,0,0,0,121,0,0,121,0,0,0,0,0,0,0,0,121,0,0,0,18,0
2013-11,0,0,0,121,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,27,0,21,7,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,21,0,7,103,27,0
2014-01,0,161,0,0,113,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,60,0,69,0
2014-02,0,0,113,60,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,112,0,0,0
2014-03,113,0,0,53,54,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,117,143,0
2014-04,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,85,0,74,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
2014-11,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,56,0,0,58,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,27,0,0,0,15,0
2015-01,0,27,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,19,0,0,0
2015-03,0,64,19,0,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0
2015-04,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,106,0,87,0,0,0,0,0,0,0,0,69,125,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,185,0,143,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,27,0,0,0,0,0,0,0,86,0,0,106,27,106,0,0,0,0,0,0,0,106
2015-08,0,0,0,0,0,79,0,0,0,0,0,61,0,52,79,0,0,0,0,0,0,65,79,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,75,0,53,64,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,94,86,0,34,0,0,0,0,0,0,0,86
2015-11,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,83,0,0,52,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,129,0,15,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,50,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
2016-09,0,0,50,39,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0
2016-10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
