mes,Volver (Tango),Corazón de la Naturaleza (Parque...,Glaciares y huellas eternas (Parque...,Tesoros del Atlántico patagónico...,Memorias de la tierra (Parques...,Raíces de América (Misiones Jesuíticas...,La ruta de los 10000 años (Quebrada de...,El camino de la fe (Manzana y...
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,83,0,0,140,83,0,0,0
2014-06,136,0,0,26,109,0,0,0
2014-07,90,0,0,79,79,0,106,0
2014-08,0,0,0,0,0,0,52,0
2014-09,0,0,57,0,0,57,0,145
2014-10,0,0,42,0,0,114,0,83
2014-11,68,0,15,57,68,0,68,0
2014-12,0,0,0,0,0,0,48,0
2015-01,58,47,0,11,58,0,28,0
2015-02,28,49,79,0,45,79,75,79
2015-03,30,0,60,0,0,60,60,60
2015-04,0,60,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,27,0,0,0,54,0,54,0
2015-12,0,38,87,0,0,87,44,53
2016-01,71,27,0,71,71,0,71,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
