mes,1.º de julio de 1974,1.º de mayo de 1974,26 de julio de 1952,22 de agosto de 1951,25 de mayo de 1973,20 de junio de 1973,16 de junio de 1955,17 de octubre de 1945&nbsp;
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,45,45,0,0,45,45
2014-06,79,79,0,0,79,79,0,27
2014-07,27,0,79,79,49,0,79,52
2014-08,53,64,0,0,30,64,0,64
2014-09,0,0,0,0,0,0,0,0
2014-10,33,0,33,45,26,26,33,71
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,53,102,0,0,102,102
2015-02,53,102,49,0,102,90,0,0
2015-03,49,0,102,102,0,0,102,102
2015-04,60,87,0,0,75,102,0,0
2015-05,0,0,0,0,0,0,0,72
2015-06,0,0,0,0,0,0,0,0
2015-07,27,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,74,52,0,0,53,115
2015-11,0,0,11,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
