mes,1943-1955. El peronismo,1852-1880. La conformación del Estado...,1916-1930. La voluntad de las mayorías,1983-1990. La recuperación de la...,1990-2006. De la hegemonía neoliberal...,1966-1976. Tiempos violentos,1880-1916. El orden conservador,1955-1966. Entre la resistencia...,1976-1983. Dictadura militar,1820-1835. Tiempo de caudillos,1835-1852. El Restaurador,1806-1820. El pueblo en armas,1930-1943. La década infame
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,76,27,103,0
2015-08,0,91,76,0,0,0,76,0,0,0,49,0,76
2015-09,72,0,0,27,0,72,0,45,72,0,0,0,0
2015-10,21,0,0,45,87,0,0,0,0,87,49,87,0
2015-11,0,98,98,0,0,0,128,0,0,0,38,0,0
2015-12,98,0,0,27,0,0,0,0,0,0,0,0,98
2016-01,0,77,0,56,0,0,0,0,0,77,77,77,0
2016-02,81,0,81,0,0,0,81,0,0,0,0,0,81
2016-03,0,0,0,0,0,0,0,0,21,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0
