mes,Cazadores y presas,Criaturas de la profundidad,Plantas,Primates,Mamíferos,Peces,Los desafíos de la vida,Pájaros,Insectos,Reptiles y anfibios
2013-05,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,86,0,86,0,0,86
2015-06,90,27,0,0,0,90,0,90,90,0
2015-07,0,63,90,90,0,0,90,0,0,60
2015-08,0,0,0,0,88,88,88,70,0,30
2015-09,77,77,77,0,0,0,0,18,77,0
2015-10,0,0,0,154,0,0,0,0,0,0
2015-11,0,0,0,0,19,19,0,0,0,19
2015-12,19,19,0,0,0,0,0,53,19,0
2016-01,0,0,19,0,68,68,68,0,0,68
2016-02,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,26,26,34,26,0,26
2016-06,0,0,0,0,0,0,0,0,0,0
2016-07,26,26,26,26,26,26,34,26,34,26
2016-08,0,0,0,0,0,0,0,0,0,0
2016-09,26,26,26,47,26,26,34,26,34,26
2016-10,0,0,0,0,0,0,0,0,0,0
