mes,El pensamiento y la acción: Sarmiento...,Tempestad de mordiscos: Sarmiento...,El fuego latente: Sarmiento y el gaucho,Relámpagos de orgullo: Sarmiento...,El universo sin mundos: Sarmiento...,Raíces del sueño: Sarmiento educador
2013-05,44,0,0,0,0,0
2013-06,0,0,0,0,0,0
2013-07,0,0,0,0,0,0
2013-08,0,0,0,0,0,0
2013-09,0,0,0,0,0,0
2013-10,0,0,0,0,0,0
2013-11,0,0,0,0,0,0
2013-12,0,0,0,0,0,0
2014-01,0,0,0,0,0,0
2014-02,0,0,0,0,0,0
2014-03,48,82,0,0,67,0
2014-04,109,0,88,88,0,88
2014-05,67,0,0,0,0,0
2014-06,0,0,0,0,0,0
2014-07,0,0,0,0,0,0
2014-08,0,0,0,0,0,0
2014-09,15,0,0,0,0,15
2014-10,0,0,0,0,0,0
2014-11,0,0,0,0,0,0
2014-12,0,0,0,0,0,0
2015-01,0,0,0,0,0,0
2015-02,0,0,0,0,0,0
2015-03,0,0,0,0,0,0
2015-04,0,0,0,0,0,0
2015-05,0,0,0,0,0,0
2015-06,0,0,0,0,0,0
2015-07,0,0,0,0,0,0
2015-08,0,0,0,0,0,0
2015-09,0,0,0,0,0,0
2015-10,0,0,0,0,0,0
2015-11,0,0,0,0,0,0
2015-12,0,0,0,0,0,0
2016-01,0,0,0,0,0,0
2016-02,0,0,0,0,0,0
2016-03,0,0,0,0,0,0
2016-04,0,0,0,0,0,0
2016-05,0,0,0,0,0,0
2016-06,0,0,0,0,0,0
2016-07,0,0,0,0,0,0
2016-08,0,0,0,0,0,0
2016-09,0,0,0,0,0,0
2016-10,0,0,0,0,0,0
