key,value,date
Cómo hice,2076,2013
Cómo hice,908,2014
Cómo hice,1715,2015
Cómo hice,1894,2016
En su justa medida,0,2013
En su justa medida,1562,2014
En su justa medida,2191,2015
En su justa medida,1354,2016
Grandes de nuestra cultura,1420,2013
Grandes de nuestra cultura,723,2014
Grandes de nuestra cultura,2356,2015
Grandes de nuestra cultura,1965,2016
Mentira la verdad,3628,2013
Mentira la verdad,3288,2014
Mentira la verdad,3158,2015
Mentira la verdad,2774,2016
Soy del pueblo,3034,2013
Soy del pueblo,2240,2014
Soy del pueblo,3265,2015
Soy del pueblo,565,2016
Cultura para principiantes,0,2013
Cultura para principiantes,0,2014
Cultura para principiantes,1447,2015
Cultura para principiantes,4749,2016
La ruta de las especias,0,2013
La ruta de las especias,1808,2014
La ruta de las especias,2552,2015
La ruta de las especias,1319,2016
Pequeños universos,1303,2013
Pequeños universos,2130,2014
Pequeños universos,990,2015
Pequeños universos,1197,2016
Historia de un país,4475,2013
Historia de un país,2906,2014
Historia de un país,412,2015
Historia de un país,0,2016
Fotos. Retrato de un país,1952,2013
Fotos. Retrato de un país,1311,2014
Fotos. Retrato de un país,1926,2015
Fotos. Retrato de un país,102,2016
Alterados por Pi,1779,2013
Alterados por Pi,1855,2014
Alterados por Pi,2390,2015
Alterados por Pi,2906,2016
Quizás porque,1089,2013
Quizás porque,4766,2014
Quizás porque,995,2015
Quizás porque,108,2016
Encuentro en el estudio,1689,2013
Encuentro en el estudio,1667,2014
Encuentro en el estudio,2064,2015
Encuentro en el estudio,1712,2016
Somos memoria,1863,2013
Somos memoria,1606,2014
Somos memoria,3088,2015
Somos memoria,2235,2016
El informe Kliksberg,1769,2013
El informe Kliksberg,2684,2014
El informe Kliksberg,4071,2015
El informe Kliksberg,1476,2016
Aguas adentro,0,2013
Aguas adentro,2792,2014
Aguas adentro,745,2015
Aguas adentro,3468,2016
Filosofía aquí y ahora,3174,2013
Filosofía aquí y ahora,3341,2014
Filosofía aquí y ahora,3389,2015
Filosofía aquí y ahora,257,2016
A fondo,1452,2013
A fondo,1388,2014
A fondo,1218,2015
A fondo,3302,2016
Proyecto G,2495,2013
Proyecto G,2973,2014
Proyecto G,2264,2015
Proyecto G,380,2016
